feature,importance,rank
feature_3461,0.006500941891263664,328
feature_1929,0.006498425019439808,329
feature_3228,0.0064964718179674275,330
feature_2216,0.006494416648803475,331
feature_0697,0.006490879108980295,332
feature_3107,0.006487984413286713,333
feature_2599,0.006482045822417082,334
feature_1926,0.006476974568311638,335
feature_4494,0.006476650173043664,336
feature_4858,0.0064761656691973216,337
feature_0588,0.0064558541504929935,338
feature_1391,0.006453908404090308,339
feature_3942,0.006447245090758522,340
feature_3730,0.006446980133693656,341
feature_4719,0.006446099711903116,342
feature_4065,0.006439864066915349,343
feature_2378,0.006432674153517596,344
feature_2841,0.006398535527150687,345
feature_0154,0.006398477771111733,346
feature_0122,0.006391156810976373,347
feature_0406,0.006382054640053379,348
feature_3538,0.006376204035721238,349
feature_1006,0.006373485722066864,350
feature_0046,0.006346871059078738,351
feature_0355,0.006303623467402941,352
feature_4155,0.006296770471131885,353
feature_4703,0.00627807997235307,354
feature_2136,0.006246362954197453,355
feature_4259,0.0062207059420930815,356
feature_0642,0.006208424070325738,357
feature_4570,0.006181307789594179,358
feature_2141,0.0061756775422859,359
feature_1578,0.006156852743591838,360
feature_0281,0.006149631919303139,361
feature_2565,0.006147554625848106,362
feature_1567,0.006114450492919379,363
feature_0662,0.0061079383937297825,364
feature_1004,0.006094400781640577,365
feature_1993,0.006062387480997333,366
feature_2942,0.006060992770675186,367
feature_0932,0.006039649219502756,368
feature_0473,0.006035845152138169,369
feature_2693,0.006000205992572253,370
feature_0436,0.0059699005366701426,371
feature_1836,0.005964478987872907,372
feature_1331,0.005945876691647462,373
feature_3179,0.005925873750167765,374
feature_2445,0.00591315377535408,375
feature_3705,0.005881945878050417,376
feature_3186,0.005880818785251671,377
feature_3793,0.005876419428131983,378
feature_1155,0.005845503341046064,379
feature_2137,0.0058426147802242345,380
feature_2773,0.005805689902116885,381
feature_1818,0.005796476229925398,382
feature_2782,0.005781843909781779,383
feature_1824,0.005780494596168339,384
feature_2987,0.00577564300560056,385
feature_1034,0.005775629099627833,386
feature_0874,0.005766377885483579,387
feature_1422,0.005765749556998727,388
feature_1517,0.005764975492595149,389
feature_0463,0.005759866858939423,390
feature_2700,0.005735094056143572,391
feature_2420,0.00572980492772388,392
feature_1442,0.005707832931015939,393
feature_4426,0.005701388521554348,394
feature_4909,0.005693443094713538,395
feature_0087,0.005684025649816163,396
feature_2621,0.0056827624796524645,397
feature_4420,0.005671836205272031,398
feature_4375,0.005659325992776574,399
feature_2699,0.005657971550474701,400
feature_2761,0.005655418607673749,401
feature_0631,0.005655008050779507,402
feature_2975,0.005654240626502892,403
feature_4128,0.005643358560365355,404
feature_4559,0.005623105230977012,405
feature_0428,0.005599084536656837,406
feature_3402,0.0055952684792642034,407
feature_4103,0.005588802131981765,408
feature_0947,0.005577857004391054,409
feature_2546,0.005561382828001225,410
feature_2974,0.005548681873411866,411
feature_2609,0.005515019649043285,412
feature_0386,0.0055127322966781545,413
feature_3375,0.005471678893270691,414
